Query,QL,BM25,improv,DPR,improv
23849,0.015137290978556726,0.018639325784678158,0.23135148892112628,0.2390705130511395,14.793480708655427
42255,0.19873362609067544,0.2624604062278992,0.32066430523512596,0.44112849809571114,1.2196973243694509
47210,0.19972017048124294,0.2021081197257508,0.011956475095899876,0.36920070817241535,0.84858999110002
67316,0.00804925511481676,0.015116998533015876,0.8780617979406672,0.08531692113423747,9.599356079196616
118440,0.004064363355323613,0.0047539224110707155,0.16965979551112215,0.008385087179268154,1.0630751845267818
121171,0.69156164008768,0.6956117754486059,0.005856506674390459,0.21950062114392482,-0.6826015087880014
135802,0.11640350705781224,0.11758499939158787,0.010149971969391195,0.05460439692901121,-0.5309041943049729
141630,0.3959329796069675,0.46899434027811987,0.18452961595590878,0.43087029676835586,0.0882404825080996
156498,0.05637986208707479,0.07010224713422573,0.2433916036537598,0.134818215222473,1.3912476943319871
169208,0.13193969197189506,0.10752701141442379,-0.18502908558155115,0.10281105809844149,-0.22077233498209445
174463,0.004101698354571917,0.030127633287527208,6.3451606342396545,0.18376976134259465,43.80333399889281
258062,0.031416020819090125,0.03173604522264767,0.010186662575773409,0.16397482683375317,4.219465182366855
324585,0.04486026948767704,0.03693557318551377,-0.17665289113655805,0.3790945165945166,7.450562623094642
330975,0.1674883209094844,0.23570604532298678,0.4072983957512431,0.544138456234222,2.2488143249599495
332593,0.2522460866644837,0.2309782071853049,-0.08431401160830514,0.2221140991169066,-0.11945472750844348
336901,0.06341180371352785,0.06341180371352785,0.0,0.17083333333333334,1.6940305010893246
390360,0.327457642613146,0.27410167883540454,-0.16294004730491354,0.23747154805334866,-0.27480224264029685
405163,0.07873917730272578,0.07352646194606122,-0.06620230913289099,0.0012683128687502531,-0.9838922260531879
555530,0.008414367852067655,0.013367949262333098,0.5887051169326053,0.25440910376231607,29.235082211172923
583468,0.6706017791559898,0.7266619689982,0.08359684030777066,0.7083914342584664,0.05635185631335202
640502,0.1199137961264673,0.08784538307007911,-0.26742888718631824,0.18800469187326693,0.5678320422363032
673670,0.0324024189386176,0.04160312654078819,0.28395125745396343,0.0009016722486658592,-0.9721726871572778
701453,0.566307755146823,0.5531306615351008,-0.023268432211926544,0.3159706769389709,-0.44205129796068
730539,0.20344189090501785,0.13556814594230707,-0.3336271829797306,0.16284652972309605,-0.19954278345198243
768208,0.23534076574508536,0.2432772736815933,0.03372347290271224,0.062313093489154724,-0.7352218461095238
877809,0.19137182792669583,0.2515772223096849,0.3145990454041672,0.20971058390654337,0.09582787695831663
911232,0.20381988596897888,0.15421931118526863,-0.24335493343990677,0.15921330910370546,-0.21885291836569118
914916,0.36375454627703707,0.28599542944183387,-0.21376809618203785,0.40612345738596856,0.11647665037473685
938400,0.16602586255757046,0.10428535518569632,-0.3718728300566139,0.3848429897812972,1.3179701273821156
940547,0.08680927292683076,0.0892470875911211,0.028082422327682793,0.31517252555731645,2.6306320158097285
940548,0,0,0,0,0
997622,0.07479556119945825,0.052391942991522694,-0.29953138727299006,0.1312528938111773,0.7548219667897614
1030303,0.5014285714285714,0.5014285714285714,0.0,0.1938961038961039,-0.6133126133126133
1037496,0.4258968940711944,0.31809212091281214,-0.25312411210108815,0.2944703005973106,-0.3085878185622882
1043135,0.11280702156229837,0.10314382048983127,-0.08566134393620646,0.12810685745735728,0.1356284004591814
1049519,0,0,0,0,0
1051399,0.020063862816988187,0.011254447163824075,-0.4390687742195451,0.1348267934364914,5.7198821416548356
1056416,0,0,0,0,0
1064670,0.22325840157795787,0.23118701224596078,0.0355131570053563,0.15211907109460962,-0.3186412246103431
1071750,0.2586665056538783,0.26846681689450747,0.037887824772114054,0.29438594400165263,0.13809069812684038
1103153,0,0,0,0,0
1105792,0.39990036418607855,0.3840273483130626,-0.03969242665062945,0.19875986089734748,-0.5029765444152932
1106979,0.6340473143890953,0.5034044214234968,-0.20604596849601506,0.5401051932913901,-0.14816263544656524
1108651,0.05472374893893578,0.0250330698713144,-0.542555648019512,0.2463603255786737,3.501890501938713
1108729,0,0,0,0,0
1109707,0.15023661744669645,0.1750420204638289,0.1651089024680242,0.13759773632094432,-0.08412650218403887
